id_active_ingredient,nm_active_ingredient,cd_nct,ds_title,ds_conditions,ds_interventions,ds_outcomes
1147,HEMITARTARATO DE NOREPINEFRINA,NCT00793520,Effect of Milnacipran on Pain Processing and Functional Magnetic Resonance Imaging (fMRI) Activation Patterns in Patients With Fibromyalgia,Fibromyalgia,"Milnacipran, Placebo, Placebo, Milnacipran","Change in Diffuse Noxious Inhibitory Control (DNIC) Effect From Baseline to End of Treatment., Change in Medium Pressure Pain Threshold From Baseline to End of Treatment."
1148,LAMOTRIGINA,NCT00579982,An Open-Label Trial Measuring Satisfaction And Convenience Of Two Formulations Of Lamotrigine In Subjects With A Mood Disorder,Mood Disorders,Lamotrigine,"Mean Change From Baseline in the Convenience Subscale Score (CSS) Derived From the Treatment Satisfaction Questionnaire for Medication (TSQM v 1.4) Using Items 9 (Ease of Use), 10 (Ease of Planning to Use), and 11 (Convenience) at Week 3., Mean Change From Baseline in the Global Satisfaction Subscale Score, From the TSQM Using Items 12 (Confidence in Medicine), 13 (Certainty That Good Things About Medication Outweigh Bad Things), and 14 (Satisfaction With Medication) at Week 3, Mean Change From Baseline in Clinical Global Impression of Illness-Severity at Week 3, Mean Change From Baseline in the Beck Depression Inventory (BDI-II) Score at Week 3, Number of Participants Answering the Question ""Did the Tablets Dissolve Instantly (Yes or no)?"" at Week 3, Number of Participants Answering the Question ""How Satisfied or Dissatisfied Were You With the Time it Took the Tablet to Dissolve"" at Week 3, Number of Participants Answering the Question ""How Did the Dissolved Tablet Feel in Your Mouth?"" at Week 3, Number of Participants Answering the Question ""How Satisfied Were You With the Flavor of the Tablet?"" at Week 3, Number of Participants Answering the Question ""How Would You Rate the Strength of the Flavor of the Tablet""? at Week 3, Number of Participants Answering the Question ""How Would You Rate the Aftertaste of the Tablet""? at Week 3., Number of Participants Answering the Question ""How Satisfied Were You With the Aftertaste of the Tablet""? at Week 3, Number of Participants Answering the Question ""Compared to Standard Tablets That Need to be Swallowed With Liquid, How Convenient or Inconvenient Did You Find This Orally Disintegrating Tablet""? at Week 3, Number of Participants Answering the Question ""Compared to Standard Tablets That Need to be Swallowed With Liquid, How Easy or Difficult is it to Use This Orally Disintegrating Tablet?"" at Week 3, Number of Participants Indicating a Preference for ODT or the Standard IR Tablet at Week 3, Number of Companions/Caregivers Indicating Whether ODT or Standard IR Tablet is More Convenient at Week 3, Number of Participants Indicating at Week 3 (by Answering Yes/no) That They Would be More Likely to Take the ODT Formulation"
1148,LAMOTRIGINA,NCT00720473,Lamotrigine Therapy in Geriatric Bipolar Depression,Bipolar Depression,Lamotrigine,"Mean Glutamine to Creatine Ratio by Diagnosis at Baseline, Mean Glutamate to Creatine Ratio by Diagnosis at Baseline, Mean N-Acetyl Aspartate (NAA) to Creatine Ratio by Diagnosis at Baseline, Associations Between Depression Symptom Severity and Glutamate to Creatine Ratio at Baseline, Estimated Change in Least Squares Mean in Glutamate to Creatine Ratio Between Baseline and Follow-up, Estimated Change in Least Squares Mean in the Glutamine to Creatine Ratio Between Baseline and Follow-up, Estimated Change in Least Squares Mean in the NAA to Creatine Ratio Between Baseline and Follow-up, Association of MADRS Changes With Glutamate to Creatine Ratio Changes From Baseline to Follow-up, Associations of MADRS Changes With Glutamine to Creatine Ratio Changes From Baseline to Follow-up, Associations of MADRS Changes With NAA to Creatine Ratio Changes From Baseline to Follow-up, Mean Montgomery Asberg Depression Rating Scale (MADRS) Score at Baseline, Means of MADRS Scores at 8 Weeks"
1148,LAMOTRIGINA,NCT02989727,Melancholic Symptoms in Bipolar Depression and Responsiveness to Lamotrigine,"Depression, Bipolar Disorder, Bipolar Depression, Melancholia, Lamotrigine","Lamotrigine, Placebos","Montgomery-Asberg Depression Rating Scale (MADRS) Change Scores, Hamilton Depression Rating Scale (HAMD-17) Change Scores, Number of Participants With 50% Reduction in the Montgomery-Asberg Depression Rating Scale (MADRS), Number of Participants With 50% Reduction in the Montgomery-Asberg Depression Rating Scale (MADRS), Number of Participants With 50% Reduction in the Montgomery-Asberg Depression Rating Scale (MADRS), Number of Participants With 50% Reduction in the Montgomery-Asberg Depression Rating Scale (MADRS), Number of Participants With 50% Reduction in the Montgomery-Asberg Depression Rating Scale (MADRS), Number of Participants With 50% Reduction in the Montgomery-Asberg Depression Rating Scale (MADRS), Number of Participants With 50% Reduction in the Montgomery-Asberg Depression Rating Scale (MADRS), Number of Participants With 50% Reduction in the Montgomery-Asberg Depression Rating Scale (MADRS), Number of Participants With 50% Reduction in the Hamilton Depression Rating Scale (HAMD-17), Number of Participants With 50% Reduction in the Hamilton Depression Rating Scale (HAMD-17), Number of Participants With 50% Reduction in the Hamilton Depression Rating Scale (HAMD-17), Number of Participants With 50% Reduction in the Hamilton Depression Rating Scale (HAMD-17), Number of Participants With 50% Reduction in the Hamilton Depression Rating Scale (HAMD-17), Number of Participants With 50% Reduction in the Hamilton Depression Rating Scale (HAMD-17), Number of Participants With 50% Reduction in the Hamilton Depression Rating Scale (HAMD-17), Number of Participants With 50% Reduction in the Hamilton Depression Rating Scale (HAMD-17)"
1151,FULVESTRANTO,NCT02675231,"A Study of Abemaciclib (LY2835219) in Women With HR+, HER2+ Locally Advanced or Metastatic Breast Cancer","Hormone Receptor Positive Breast Cancer, HER-2 Positive Breast Cancer","Abemaciclib, Trastuzumab, Fulvestrant, Standard of Care Single Agent Chemotherapy","Progression Free Survival (PFS), Percentage of Participants With 1 Year Overall Survival (OS), Percentage of Participants With 2 Year OS, Percentage of Participants With 3 Year OS, Percentage of Participants Achieving Complete Response (CR) or Partial Response (PR): Objective Response Rate (ORR), Duration of Response (DoR), Percentage of Participants With a Best Overall Response of CR, PR, or Stable Disease (SD): Disease Control Rate (DCR), Percentage of Participants With Best Overall Response of CR, PR, or SD With Duration of SD for at Least 6 Months: Clinical Benefit Rate (CBR), Change From Baseline in Pain and Symptom Burden Assessment on the Modified Brief Pain Inventory-Short Form (mBPI-sf), Change From Baseline in Symptom Burden on the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire-C30 (EORTC QLQ-C30), Change From Baseline on the EuroQol 5-Dimension, 5-Level Questionnaire (EQ-5D-5L) Index Score, Change From Baseline on the EuroQol 5-Dimension, 5-Level Questionnaire (EQ-5D-5L) Visual Analogue Scale (VAS), Pharmacokinetics (PK): Minimum Steady State Concentration (Cmin,ss) of Abemaciclib and Its Metabolites (M2 and M20)"
1152,CETUXIMABE,NCT02052960,CetuGEX™ in Comparison to Cetuximab for the Treatment of Patients With Head and Neck Cancer,"Carcinoma, Squamous Cell of Head and Neck","CetuGEX™, Cetuximab, Chemotherapy","Progression-free Survival (PFS), Objective Response Rate (ORR), Clinical Benefit Rate, Time to Treatment Failure, Overall Survival, Time of Global Health Status Deterioration"
1152,CETUXIMABE,NCT03365882,"S1613, Trastuzumab and Pertuzumab or Cetuximab and Irinotecan Hydrochloride in Treating Patients With Locally Advanced or Metastatic HER2/Neu Amplified Colorectal Cancer That Cannot Be Removed by Surgery","Colon Adenocarcinoma, ERBB2 Gene Amplification, Rectal Adenocarcinoma, Recurrent Colon Carcinoma, Recurrent Rectal Carcinoma, Stage III Colon Cancer AJCC v7, Stage III Rectal Cancer AJCC v7, Stage IIIA Colon Cancer AJCC v7, Stage IIIA Rectal Cancer AJCC v7, Stage IIIB Colon Cancer AJCC v7, Stage IIIB Rectal Cancer AJCC v7, Stage IIIC Colon Cancer AJCC v7, Stage IIIC Rectal Cancer AJCC v7, Stage IV Colon Cancer AJCC v7, Stage IV Rectal Cancer AJCC v7, Stage IVA Colon Cancer AJCC v7, Stage IVA Rectal Cancer AJCC v7, Stage IVB Colon Cancer AJCC v7, Stage IVB Rectal Cancer AJCC v7","Cetuximab, Irinotecan Hydrochloride, Laboratory Biomarker Analysis, Pertuzumab, Trastuzumab, HER-2 testing","Progression-free Survival(PFS), Overall Response Rate (ORR) for TP and CETIRI Treatment Arms, 2 Year Overall Survival (OS) for TP and CETIRI Treatment Arms, Number of Participants With Gr 3 Through 5 Adverse Events That Are Related to Study Drugs."
1152,CETUXIMABE,NCT02499120,Safety And Efficacy Study Of Palbociclib Plus Cetuximab Versus Cetuximab To Treat Head And Neck Cancer,Squamous Cell Carcinoma of the Head and Neck (SCCHN),"palbociclib, Cetuximab, Placebo","Overall Survival (OS), Progression Free Survival (PFS), Percentage of Participants With Objective Response (OR), Percentage of Participants With Clinical Benefit Response (CBR), Duration of Response (DR), Number of Participants With Treatment-Emergent Adverse Events(TEAEs), Number of Participants With Laboratory Abnormalities, Change From Baseline in European Organization for Research and Treatment of Cancer Quality of Life Questionnaire-C30 (EORTC QLQ-C30), Change From Baseline in European Organization for Research and Treatment of Cancer Head and Neck Module35 (EORTC QLQ-H&N35), Summary of PFS and OS for P16 Negative (%Positive Tumor Cells < 70%), Summary of PFS and OS Based on Investigator Assessment by Rb Expression >= 1%, Trough Plasma Concentration (Ctrough) and Within-participant Mean Steady-state Pre-dose Concentration (WPM-Ctrough) at Steady State for Palbociblib, Ctrough and Cendinf, WPM-Ctrough and WPM-Cendinf at Steady State for Serum Cetuximab"
1153,MALEATO DE METILERGOMETRINA,NCT02408965,Uterotonic Prophylaxis Trial,Hemorrhage,"Methergine, placebo","Number of Participants With Excessive Bleeding as Determined by the Composite Outcome Criteria, Amount of Post-procedure Blood Loss Measured in mL, Number of Participants Who Had a Balloon Tamponade Placed From Start of Procedure to Hospital Discharge, Number of Participants Who Returned to OR for Re-aspiration During Recovery Period, Number of Participants Who Were Admitted for Bleeding After Procedure, Number of Participants Given Any Uterotonic, Number of Participants Who Reported Nausea up to One Hour After Procedure, Number of Patients Who Reported Vomiting up to One Hour After Procedure, Number of Participants Who Reported Cramping up to One Hour After Procedure"
1153,MALEATO DE METILERGOMETRINA,NCT01549223,Oxytocin And Uterotonic Agent Use For Cesarean Delivery,"Uterine Atony, Hypotension","Oxytocin Infusion, Oxytocin Bolus","1. Amount of Oxytocin to Obtain Satisfactory Uterine Tone., Side Effects (Hypotension, Flushing, Nausea and Emesis) Associated With Uterotonic Drug Use"
1154,VISMODEGIBE,NCT01108094,Pilot Biomarker Trial to Evaluate the Efficacy of Itraconazole in Patients w/ Basal Cell Carcinomas,"Basal Cell Carcinoma (BCC), Skin Cancer",Itraconazole,"Ki67 Tumor Proliferation Biomarker, Change of GLI1 Tumor Biomarker, Tumor Size, Tumor Response"
1154,VISMODEGIBE,NCT00980343,GDC-0449 in Treating Patients With Recurrent Glioblastoma Multiforme That Can Be Removed by Surgery,"Adult Giant Cell Glioblastoma, Adult Glioblastoma, Adult Gliosarcoma, Recurrent Adult Brain Tumor","vismodegib, therapeutic conventional surgery, laboratory biomarker analysis, pharmacological study","6 Months Progression-free Survival (PFS), Overall Survival Time, Best Tumor Response Assessed by the Modified Macdonald Radiographic Response Criteria, Toxicity Incidence Grade 3 or 4 According to the National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) v4.0, Incidence of CD133+ Neurospheres by Arm, Changes in Sonic Hedgehog Pathway Activation, Determine Drug Effect (Pharmacokinetics) in Plasma for Arm 1"
